Search:,Year,Semester
NUFS 20 (Section 80),48315,Fully Online,Sanitation and Environmental Issues in the Hospitality Industry,,2.0,SEM,T,03:00PM-04:40PM,Todd Engstrom,ONLINE,08/21/24-12/09/24,19,FULLY ONLINE - Designated day/time online meetings. May utilize Canvas. More info at sjsu.edu/cfeti,2024,Fall
NUFS 20 (Section 81),48316,Fully Online,Sanitation and Environmental Issues in the Hospitality Industry,,2.0,SEM,W,03:00PM-04:40PM,Todd Engstrom,ONLINE,08/21/24-12/09/24,20,FULLY ONLINE - Designated day/time online meetings. May utilize Canvas. More info at sjsu.edu/cfeti,2024,Fall
NUFS 201 (Section 01),43056,In Person,"Colloquium in Nutrition, Food Science and Packaging",,3.0,SEM,M,03:00PM-05:45PM,Susan Chen,CCB102,08/21/24-12/09/24,8,2024,Fall
NUFS 21 (Section 01),40182,In Person,Culinary Principles and Practice,,3.0,LEC,W,08:30AM-10:10AM,Todd Engstrom,CCB122,08/21/24-12/09/24,4,2024,Fall
NUFS 21 (Section 02),40183,In Person,Culinary Principles and Practice,,0,LAB,W,10:15AM-01:00PM,Todd Engstrom,CCB125,08/21/24-12/09/24,4,2024,Fall
NUFS 217 (Section 01),43057,In Person,"Issues in Nutrition, Food and Packaging",GWAR,3.0,SEM,R,03:00PM-05:45PM,Giselle Pignotti,CL302,08/21/24-12/09/24,12,2024,Fall
NUFS 217 (Section 80),45769,Fully Online,"Issues in Nutrition, Food and Packaging",GWAR,3.0,SEM,R,03:00PM-05:45PM,Susan Chen,ONLINE,08/21/24-12/09/24,1,FULLY ONLINE - Designated day/time online meetings. May utilize Canvas. More info at sjsu.edu/cfeti,2024,Fall
NUFS 219A (Section 01),45770,In Person,Advanced Nutrition and Metabolism,,3.0,SEM,T,06:00PM-08:45PM,John Gieng,CCB102,08/21/24-12/09/24,10,2024,Fall
NUFS 22 (Section 01),48318,In Person,Catering and Beverage Management,,3.0,LEC,R,03:00PM-04:40PM,Todd Engstrom,CCB122,08/21/24-12/09/24,8,2024,Fall
NUFS 22 (Section 02),48319,In Person,Catering and Beverage Management,,0,LAB,R,04:45PM-07:30PM,Todd Engstrom,CCB122,08/21/24-12/09/24,8,2024,Fall
NUFS 220A (Section 80),44767,Fully Online,Advanced Medical Nutrition Therapy,,3.0,SEM,W,06:00PM-08:45PM,Janine Berta,ONLINE,08/21/24-12/09/24,4,FULLY ONLINE - Designated day/time online meetings. May utilize Canvas. More info at sjsu.edu/cfeti,2024,Fall
NUFS 242 (Section 01),48772,In Person,Advanced Foodservice/Restaurant Management,,3.0,SEM,W,03:00PM-05:45PM,Adrianne Widaman,IS230,08/21/24-12/09/24,3,2024,Fall
