Search:,Year,Semester
KIN 111 (Section 01),46004,In Person,Sport a Movement in a Global Context,GE: V,3.0,LEC,MW,01:30PM-02:45PM,Aaron Miller,SPXC151,08/21/24-12/09/24,1,2024,Fall
KIN 111 (Section 81),42055,Fully Online,Sport a Movement in a Global Context,GE: V,3.0,LEC,T,2024,Fall
TBA,T,2024,Fall
TBA,Daniel Murphy / Daniel Murphy,ONLINE,2024,Fall
KIN 13A (Section 01),43389,In Person,Beginning Rugby,PE: PhysEd,1.0,ACT,M,09:30AM-11:20AM,James Fonda,SPXC107A,08/21/24-12/09/24,1,"LA - Class meets at off-campus location, students must arrange own transportation.",2024,Fall
KIN 146 (Section 01),48505,In Person,Introduction to Exercise Technology,,3.0,LEC,TR,01:30PM-02:45PM,Yang Hu,SPXC151,08/21/24-12/09/24,8,2024,Fall
KIN 147 (Section 01),41443,In Person,Biomechanical Assessment of Movement,,3.0,LEC,M,07:30AM-08:50AM,Sherveen Riazati,YUH124,08/21/24-12/09/24,0,2024,Fall
PU - At first class meeting students must furnish proof of completion of prerequisites.,2024,Fall
PV - Prerequisite courses required. See course description.,2024,Fall
KIN 147 (Section 02),41444,In Person,Biomechanical Assessment of Movement,,0,LAB,MW,09:00AM-10:20AM,Sherveen Riazati,SPXC234,08/21/24-12/09/24,0,2024,Fall
PU - At first class meeting students must furnish proof of completion of prerequisites.,2024,Fall
PV - Prerequisite courses required. See course description.,2024,Fall
KIN 147 (Section 03),44484,In Person,Biomechanical Assessment of Movement,,0,LAB,MW,10:30AM-11:50AM,Sherveen Riazati,SPXC234,08/21/24-12/09/24,1,2024,Fall
PU - At first class meeting students must furnish proof of completion of prerequisites.,2024,Fall
PV - Prerequisite courses required. See course description.,2024,Fall
KIN 147 (Section 04),44485,In Person,Biomechanical Assessment of Movement,,0,LAB,MW,01:00PM-02:20PM,Sherveen Riazati,SPXC234,08/21/24-12/09/24,0,2024,Fall
PU - At first class meeting students must furnish proof of completion of prerequisites.,2024,Fall
PV - Prerequisite courses required. See course description.,2024,Fall
KIN 147 (Section 05),46720,In Person,Biomechanical Assessment of Movement,,0,LAB,MW,02:30PM-03:50PM,Sherveen Riazati,SPXC234,08/21/24-12/09/24,0,2024,Fall
PU - At first class meeting students must furnish proof of completion of prerequisites.,2024,Fall
PV - Prerequisite courses required. See course description.,2024,Fall
